Serial_Number,5000-6900,5000-6909,5000-6906,5000-6941,5000-6900N,5000-6937,5000-6912,5000-6926,5000-6930,5000-6903,5000-6911,5000-6916,5000-6905,5000-6914,5000-6900_Luster,5000-6900_L,5000-6900_a,5000-6900_b,5000-6909_Luster,5000-6909_L,5000-6909_a,5000-6909_b,5000-6906_Luster,5000-6906_L,5000-6906_a,5000-6906_b,5000-6941_Luster,5000-6941_L,5000-6941_a,5000-6941_b,5000-6900N_Luster,5000-6900N_L,5000-6900N_a,5000-6900N_b,5000-6937_Luster,5000-6937_L,5000-6937_a,5000-6937_b,5000-6912_Luster,5000-6912_L,5000-6912_a,5000-6912_b,5000-6926_Luster,5000-6926_L,5000-6926_a,5000-6926_b,5000-6930_Luster,5000-6930_L,5000-6930_a,5000-6930_b,5000-6903_Luster,5000-6903_L,5000-6903_a,5000-6903_b,5000-6911_Luster,5000-6911_L,5000-6911_a,5000-6911_b,5000-6916_Luster,5000-6916_L,5000-6916_a,5000-6916_b,5000-6905_Luster,5000-6905_L,5000-6905_a,5000-6905_b,5000-6914_Luster,5000-6914_L,5000-6914_a,5000-6914_b,P0502,P0508,P0509,P0604,M7001,M7005,TH-6980,Target_luster,Target_L,Target_a,Target_b
P05000N09C24O69,16.45,21.72,24.88,22.67,0,0,0,0,0,0,0,0,0,0,85,92.1,-1.4,0.9,90,56.3,20.3,43.1,81,36.4,25.7,15.9,85,25.4,-0.3,-0.3,85,91.69,-1.5,1,82,32.7,-25.5,4.4,84,72.4,12.8,76.1,82,26.7,5.3,-11.5,82,29.4,-2.6,-22.7,82,37.3,43.2,20.3,83,49,54.5,37.5,81,76.2,-6.9,69.5,84,34.23,43.58,16.55,86,76.7,5.4,71.7,9.78,0,0,0,0,1.5,3,3.5,30.9,2.8,2.2
P05000N09C24O70,70.58,0,0,0,0,0,0,0,15.24,0,0,7.62,0,0,85,92.1,-1.4,0.9,90,56.3,20.3,43.1,81,36.4,25.7,15.9,85,25.4,-0.3,-0.3,85,91.69,-1.5,1,82,32.7,-25.5,4.4,84,72.4,12.8,76.1,82,26.7,5.3,-11.5,82,29.4,-2.6,-22.7,82,37.3,43.2,20.3,83,49,54.5,37.5,81,76.2,-6.9,69.5,84,34.23,43.58,16.55,86,76.7,5.4,71.7,3.56,0,0,0,0,0,3,58.1,59,-36.9,-7.5
P05000N09C24P16,91.79,0.09,0,0.04,0,0,0.3,0,0.27,0,0,0,0,0,85,92.1,-1.4,0.9,90,56.3,20.3,43.1,81,36.4,25.7,15.9,85,25.4,-0.3,-0.3,85,91.69,-1.5,1,82,32.7,-25.5,4.4,84,72.4,12.8,76.1,82,26.7,5.3,-11.5,82,29.4,-2.6,-22.7,82,37.3,43.2,20.3,83,49,54.5,37.5,81,76.2,-6.9,69.5,84,34.23,43.58,16.55,86,76.7,5.4,71.7,4.51,0,0,0,0,0,3,54.3,84.3,-7.6,1.4
P05000N09C24P17,87.41,0.22,0,0,0,0,0,0,1.46,0,0,0,0,0,85,92.1,-1.4,0.9,90,56.3,20.3,43.1,81,36.4,25.7,15.9,85,25.4,-0.3,-0.3,85,91.69,-1.5,1,82,32.7,-25.5,4.4,84,72.4,12.8,76.1,82,26.7,5.3,-11.5,82,29.4,-2.6,-22.7,82,37.3,43.2,20.3,83,49,54.5,37.5,81,76.2,-6.9,69.5,84,34.23,43.58,16.55,86,76.7,5.4,71.7,6.41,0,0,0,0,1.5,3,35.2,78.1,-18.4,-12.2
P05000N09C24U12,95.79,1.01,0,0.04,0,0.02,0,0,0,0,0,0.14,0,0,85,92.1,-1.4,0.9,90,56.3,20.3,43.1,81,36.4,25.7,15.9,85,25.4,-0.3,-0.3,85,91.69,-1.5,1,82,32.7,-25.5,4.4,84,72.4,12.8,76.1,82,26.7,5.3,-11.5,82,29.4,-2.6,-22.7,82,37.3,43.2,20.3,83,49,54.5,37.5,81,76.2,-6.9,69.5,84,34.23,43.58,16.55,86,76.7,5.4,71.7,0,0,0,0,0,0,3,86.6,88.4,0.2,12.1
P05000N09C24U13,2.47,0.64,5.32,77.29,0,0,0,0,0,0,0,0,0,0,85,92.1,-1.4,0.9,90,56.3,20.3,43.1,81,36.4,25.7,15.9,85,25.4,-0.3,-0.3,85,91.69,-1.5,1,82,32.7,-25.5,4.4,84,72.4,12.8,76.1,82,26.7,5.3,-11.5,82,29.4,-2.6,-22.7,82,37.3,43.2,20.3,83,49,54.5,37.5,81,76.2,-6.9,69.5,84,34.23,43.58,16.55,86,76.7,5.4,71.7,9.78,0,0,0,0,1.5,3,5.9,25.8,-0.3,-0.6
P05000N09C25C83,16.47,0,0,0,0,10.92,26.11,0,12.39,0,0,29.37,0,0,85,92.1,-1.4,0.9,90,56.3,20.3,43.1,81,36.4,25.7,15.9,85,25.4,-0.3,-0.3,85,91.69,-1.5,1,82,32.7,-25.5,4.4,84,72.4,12.8,76.1,82,26.7,5.3,-11.5,82,29.4,-2.6,-22.7,82,37.3,43.2,20.3,83,49,54.5,37.5,81,76.2,-6.9,69.5,84,34.23,43.58,16.55,86,76.7,5.4,71.7,1.74,0,0,0,0,0,3,67.2,44.5,-29.2,18.3
P05000N09C25D80,92.18,2.14,0.39,0.64,0,0,0,0,0,0,0,0,0,0,85,92.1,-1.4,0.9,90,56.3,20.3,43.1,81,36.4,25.7,15.9,85,25.4,-0.3,-0.3,85,91.69,-1.5,1,82,32.7,-25.5,4.4,84,72.4,12.8,76.1,82,26.7,5.3,-11.5,82,29.4,-2.6,-22.7,82,37.3,43.2,20.3,83,49,54.5,37.5,81,76.2,-6.9,69.5,84,34.23,43.58,16.55,86,76.7,5.4,71.7,1.65,0,0,0,0,0,3,75.1,75.5,1.8,6.8
P05000N09C25D81,30.2,0,0,0,0,0,0,22.03,34.38,1.96,0,0,0,0,85,92.1,-1.4,0.9,90,56.3,20.3,43.1,81,36.4,25.7,15.9,85,25.4,-0.3,-0.3,85,91.69,-1.5,1,82,32.7,-25.5,4.4,84,72.4,12.8,76.1,82,26.7,5.3,-11.5,82,29.4,-2.6,-22.7,82,37.3,43.2,20.3,83,49,54.5,37.5,81,76.2,-6.9,69.5,84,34.23,43.58,16.55,86,76.7,5.4,71.7,6.93,0,0,0,0,1.5,3,19.7,37.1,-4.4,-29.9
P05000N09C25F46,20.71,0,0,0,0,44.92,30.39,0,0,0.98,0,0,0,0,85,92.1,-1.4,0.9,90,56.3,20.3,43.1,81,36.4,25.7,15.9,85,25.4,-0.3,-0.3,85,91.69,-1.5,1,82,32.7,-25.5,4.4,84,72.4,12.8,76.1,82,26.7,5.3,-11.5,82,29.4,-2.6,-22.7,82,37.3,43.2,20.3,83,49,54.5,37.5,81,76.2,-6.9,69.5,84,34.23,43.58,16.55,86,76.7,5.4,71.7,0,0,0,0,0,0,3,84.5,43.9,-28.2,17.1
P05000N09C25G26,86.6,0.87,0.09,0.56,0,0,0,0,0,0,0,0,0,0,85,92.1,-1.4,0.9,90,56.3,20.3,43.1,81,36.4,25.7,15.9,85,25.4,-0.3,-0.3,85,91.69,-1.5,1,82,32.7,-25.5,4.4,84,72.4,12.8,76.1,82,26.7,5.3,-11.5,82,29.4,-2.6,-22.7,82,37.3,43.2,20.3,83,49,54.5,37.5,81,76.2,-6.9,69.5,84,34.23,43.58,16.55,86,76.7,5.4,71.7,7.38,0,0,0,0,1.5,3,7.7,75.3,0.1,3.9
P05000N09C25P48,22.6,0,0,0,0,0,74.1,0,0,0,0.3,0,0,0,85,92.1,-1.4,0.9,90,56.3,20.3,43.1,81,36.4,25.7,15.9,85,25.4,-0.3,-0.3,85,91.69,-1.5,1,82,32.7,-25.5,4.4,84,72.4,12.8,76.1,82,26.7,5.3,-11.5,82,29.4,-2.6,-22.7,82,37.3,43.2,20.3,83,49,54.5,37.5,81,76.2,-6.9,69.5,84,34.23,43.58,16.55,86,76.7,5.4,71.7,0,0,0,0,0,0,3,82.5,76.9,18.4,71.9
P05000N09C23I13,91.86,0,0,0,0,0,0,0,0,1.96,0.29,0,0,0,85,92.1,-1.4,0.9,90,56.3,20.3,43.1,81,36.4,25.7,15.9,85,25.4,-0.3,-0.3,85,91.69,-1.5,1,82,32.7,-25.5,4.4,84,72.4,12.8,76.1,82,26.7,5.3,-11.5,82,29.4,-2.6,-22.7,82,37.3,43.2,20.3,83,49,54.5,37.5,81,76.2,-6.9,69.5,84,34.23,43.58,16.55,86,76.7,5.4,71.7,2.89,0,0,0,0,0,3,73.8,76.6,21.3,1.7
P05000N09C23X02,7.77,0,0,11.32,0,0,0,7.14,67.88,0,0,0,0,0,85,92.1,-1.4,0.9,90,56.3,20.3,43.1,81,36.4,25.7,15.9,85,25.4,-0.3,-0.3,85,91.69,-1.5,1,82,32.7,-25.5,4.4,84,72.4,12.8,76.1,82,26.7,5.3,-11.5,82,29.4,-2.6,-22.7,82,37.3,43.2,20.3,83,49,54.5,37.5,81,76.2,-6.9,69.5,84,34.23,43.58,16.55,86,76.7,5.4,71.7,2.89,0,0,0,0,0,3,71.1,27.8,-2.1,-5.4
P05000N09C23J07,19.54,0,0,0,0,0.2,0,0,0.86,0,0,73.1,0,0,85,92.1,-1.4,0.9,90,56.3,20.3,43.1,81,36.4,25.7,15.9,85,25.4,-0.3,-0.3,85,91.69,-1.5,1,82,32.7,-25.5,4.4,84,72.4,12.8,76.1,82,26.7,5.3,-11.5,82,29.4,-2.6,-22.7,82,37.3,43.2,20.3,83,49,54.5,37.5,81,76.2,-6.9,69.5,84,34.23,43.58,16.55,86,76.7,5.4,71.7,3.3,0,0,0,0,0,3,58.1,73.7,-30.9,55.7
P05000N09C23J08,37.56,0,0,2.1,0,5.36,0,0,45.99,0,0,0,0,0,85,92.1,-1.4,0.9,90,56.3,20.3,43.1,81,36.4,25.7,15.9,85,25.4,-0.3,-0.3,85,91.69,-1.5,1,82,32.7,-25.5,4.4,84,72.4,12.8,76.1,82,26.7,5.3,-11.5,82,29.4,-2.6,-22.7,82,37.3,43.2,20.3,83,49,54.5,37.5,81,76.2,-6.9,69.5,84,34.23,43.58,16.55,86,76.7,5.4,71.7,4.49,0,0,0,0,1.5,3,59.3,41.3,-19.2,-19.7
P05000N09C20K63,63.91,8.95,0.43,16.58,0,0,0,0,0,0,0,0,0,0,85,92.1,-1.4,0.9,90,56.3,20.3,43.1,81,36.4,25.7,15.9,85,25.4,-0.3,-0.3,85,91.69,-1.5,1,82,32.7,-25.5,4.4,84,72.4,12.8,76.1,82,26.7,5.3,-11.5,82,29.4,-2.6,-22.7,82,37.3,43.2,20.3,83,49,54.5,37.5,81,76.2,-6.9,69.5,84,34.23,43.58,16.55,86,76.7,5.4,71.7,5.63,0,0,0,0,1.5,3,44.3,41.5,-0.9,0.3
GMPC05000C23A07,39.2,20.6,15.31,11.05,0,0,0,0,0,0,0,0,0,0,85,92.1,-1.4,0.9,90,56.3,20.3,43.1,81,36.4,25.7,15.9,85,25.4,-0.3,-0.3,85,91.69,-1.5,1,82,32.7,-25.5,4.4,84,72.4,12.8,76.1,82,26.7,5.3,-11.5,82,29.4,-2.6,-22.7,82,37.3,43.2,20.3,83,49,54.5,37.5,81,76.2,-6.9,69.5,84,34.23,43.58,16.55,86,76.7,5.4,71.7,9.33,0,0,0,0,1.5,3.01,6.7,39.3,4.6,4.4
P05000N12C25E78,6.18,14.82,17.76,48.21,0,0,0,0,0,0,0,0,0,0,85,92.1,-1.4,0.9,90,56.3,20.3,43.1,81,36.4,25.7,15.9,85,25.4,-0.3,-0.3,85,91.69,-1.5,1,82,32.7,-25.5,4.4,84,72.4,12.8,76.1,82,26.7,5.3,-11.5,82,29.4,-2.6,-22.7,82,37.3,43.2,20.3,83,49,54.5,37.5,81,76.2,-6.9,69.5,84,34.23,43.58,16.55,86,76.7,5.4,71.7,8.53,0,0,0,0,1.5,3,7.5,27.2,0.2,-0.2
P05000N12C23K02,10.54,15.68,45.53,22.12,0,0,0,0,0,0,0,0,0,0,85,92.1,-1.4,0.9,90,56.3,20.3,43.1,81,36.4,25.7,15.9,85,25.4,-0.3,-0.3,85,91.69,-1.5,1,82,32.7,-25.5,4.4,84,72.4,12.8,76.1,82,26.7,5.3,-11.5,82,29.4,-2.6,-22.7,82,37.3,43.2,20.3,83,49,54.5,37.5,81,76.2,-6.9,69.5,84,34.23,43.58,16.55,86,76.7,5.4,71.7,3.13,0,0,0,0,0,3,61.4,30.9,5.3,3.8
